Name,Date,Chain,Height,Addresses,Bug Type
uranium,2021-4-27,bsc,6920000,"0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x9B9baD4c6513E0fF3fB77c739359D59601c7cAfF",Logical Bug
valuedefi,2021-5-8,bsc,7223029,"0x7Af938f0EFDD98Dc513109F6A7E85106D26E16c4,0xd7D069493685A581d27824Fc46EdA46B7EfC0063,0xD4BBF439d3EAb5155Ca7c0537E583088fB4CFCe8,0x7Af938f0EFDD98Dc513109F6A7E85106D26E16c4",Reentrancy
pancakehunny,2021-6-3,bsc,7962338,"0x565b72163f17849832A692A3c5928cc502f46D69,0x12180BB36DdBce325b3be0c087d61Fce39b8f5A4,0x109Ea28dbDea5E6ec126FbC8c33845DFe812a300",Miscalculation
gym_1,2022-4-9,bsc,16798806,"0xE98D920370d87617eb11476B41BF4BE4C556F3f8,0x3a0d9d7764FAE860A659eb96A500F1323b411e68,0x627F27705c8C283194ee9A85709f7BD9E38A1663,0x8dC058bA568f7D992c60DE3427e7d6FC014491dB,0x1BEfe6f3f0E8edd2D4D15Cae97BAEe01E51ea4A4",Logical Bug
zeed,2022-4-21,bsc,17132514,"0xe7748FCe1D1e2f2Fd2dDdB5074bD074745dDa8Ea,0xbC70FA7aea50B5AD54Df1edD7Ed31601C350A91a,0x8893610232C87f4a38DC9B5Ab67cbc331dC615d6,0xA7741d6b60A64b2AaE8b52186adeA77b1ca05054",Logical Bug
hackdao,2022-5-24,bsc,18073756,"0x94e06c77b02Ade8341489Ab9A23451F68c13eC1C,0xcd4CDAa8e96ad88D82EABDdAe6b9857c010f4Ef2,0xbdB426A2FC2584c2D43dba5A7aB11763DFAe0225",Price Manipulation
discover,2022-6-6,bsc,18446845,"0x5908E4650bA07a9cf9ef9FD55854D4e1b700A267,0xe732a7bD6706CBD6834B300D7c56a8D2096723A7",Price Manipulation
shadowfi,2022-9-2,bsc,20969095,"0x10bc28d2810dD462E16facfF18f78783e859351b,0xF9e3151e813cd6729D52d9A0C3ee69F22CcE650A",Access Control
roi,2022-9-8,bsc,21143795,0xE48b75dc1b131fd3A8364b0580f76eFD04cF6e9c,Access Control
dpc,2022-9-9,bsc,21179209,"0xB75cA3C3e99747d0e2F6e75A9fBD17F5Ac03cebE,0x79cD24Ed4524373aF6e047556018b1440CF04be3",Logical Bug
res,2022-10-6,bsc,21948016,"0xecCD8B08Ac3B587B7175D40Fb9C60a20990F8D21,0x04C0f31C0f59496cf195d2d7F1dA908152722DE7,0x05ba2c512788bd95cd6D61D3109c53a14b01c82A",Price Manipulation
inuko,2022-10-14,bsc,22169169,"0xEa51801b8F5B88543DdaD3D1727400c15b209D8f,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0xfD36E2c2a6789Db23113685031d7F16329158384",Price Manipulation
pltd,2022-10-17,bsc,22252045,"0x29b2525e11BC0B0E9E59f705F318601eA6756645,0x4397C76088db8f16C15455eB943Dd11F2DF56545",Logical Bug
hpay,2022-10-18,bsc,22280853,"0xC75aa1Fa199EaC5adaBC832eA4522Cff6dFd521A,0xF8bC1434f3C5a7af0BE18c00C675F7B034a002F0",Access Control
health,2022-10-20,bsc,22337425,0x32B166e082993Af6598a89397E82e123ca44e74E,Logical Bug
bego,2022-10-20,bsc,22315679,0xc342774492b54ce5F8ac662113ED702Fc1b34972,Insufficient Input Validaton
sheepfarm,2022-11-16,bsc,23088156,0x4726010da871f4b57b5031E3EA48Bde961F122aA,Insufficient Input Validaton
annex,2022-11-18,bsc,23165446,0xe65E970F065643bA80E5822edfF483A1d75263E3,Insufficient Input Validaton
sdao,2022-11-21,bsc,23241440,"0x6666625Ab26131B490E7015333F97306F05Bf816,0x333896437125fF680f146f18c8A164Be831C4C71",Logical Bug
seaman,2022-11-29,bsc,23467515,"0x6bc9b4976ba6f8C9574326375204eE469993D038,0xDB95FBc5532eEb43DeEd56c8dc050c930e31017e,0x6637914482670f91F43025802b6755F27050b0a6",Logical Bug
mbc,2022-11-29,bsc,23474460,"0x4E87880A72f6896E7e0a635A5838fFc89b13bd17,0xeE04a3f9795897fd74b7F04Bb299Ba25521606e6,0x5b1Bf836fba1836Ca7ffCE26f155c75dBFa4aDF1,0x33CCA0E0CFf617a2aef1397113E779E42a06a74A",Access Control
rfb,2022-12-6,bsc,23649423,0x26f1457f067bF26881F311833391b52cA871a4b5,Bad Random
aes,2022-12-7,bsc,23695904,"0xdDc0CFF76bcC0ee14c3e73aF630C029fe020F907,0x40ed17221b3b2d8455f4f1a05cac6b77c5f707e3",Price Manipulation
bgld,2022-12-12,bsc,23844529,"0x7526cC9121Ba716CeC288AF155D110587e55Df8b,0x429339fa7A2f2979657B25ed49D64d4b98a2050d,0x559D0deAcAD259d970f65bE611f93fCCD1C44261,0xC2319E87280c64e2557a51Cb324713Dd8d1410a3,0x169f715CaE1F94C203366a6890053E817C767B7C,0xC632F90affeC7121120275610BF17Df9963F181c,0xE445654F3797c5Ee36406dBe88FBAA0DfbdDB2Bb",Price Manipulation
dfs,2022-12-30,bsc,24349821,"0x2B806e6D78D8111dd09C58943B9855910baDe005,0x4B02D85E086809eB7AF4E791103Bc4cde83480D1",Insufficient Input Validaton
gds,2023-1-3,bsc,24449918,"0xC1Bb12560468fb255A8e8431BDF883CC4cB3d278,0x4526C263571eb57110D161b41df8FD073Df3C44A",Logical Bug
ufdao,2023-1-12,bsc,24705058,"0xf887A2DaC0DD432997C970BCE597A94EaD4A8c25,0xCA49EcF7e7bb9bBc9D1d295384663F6BA5c0e366,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d",Logical Bug
